{e6adeecc-5637-46bb-a263-1e82fd1f261c} event:/cars/seat_cupra_tcr/backfire_ext
{6f616ed7-eefd-4c25-a0c0-7d9b4e615624} event:/cars/seat_cupra_tcr2/gear_ext
{cb6efe06-6fbb-4636-8bb3-2d861ea18e09} event:/cars/seat_cupra_tcr2/gear_grind
{02c11c4e-b532-46bd-b45a-50a6d85d7b46} event:/cars/seat_cupra_tcr2/gear_int
{9c7c5f52-e587-4a27-9e4d-b63a4c368e99} event:/cars/seat_cupra_tcr2/horn
{a5c5bc5e-c3c9-413b-bbe3-b118b8f18f0b} event:/cars/seat_cupra_tcr2/limiter
{cb5ee8ef-be81-4f38-8d5a-49627dd6eaab} event:/cars/seat_cupra_tcr2/skid_ext
{c7bc3a56-17dc-43ef-b7f6-7099e9043264} event:/cars/seat_cupra_tcr2/skid_int
{ba1e0d52-8b0e-4436-ae30-89cdbf05b478} event:/cars/seat_cupra_tcr2/tractioncontrol_ext
{aa0236cf-3f56-4fd0-8df1-71cc41179369} event:/cars/seat_cupra_tcr2/tractioncontrol_int
{f4bc0bb2-9b01-4ce0-b004-ffd0f90c4158} event:/cars/seat_cupra_tcr2/transmission
{05fd4f47-5b0b-4903-910d-073581339281} event:/cars/seat_cupra_tcr2/turbo
{7eb22d47-7de5-4571-88f2-b36dbdcf4483} event:/cars/seat_cupra_tcr2/wheel
{121f4496-945e-4947-b9e1-cbe1b4eaf97e} event:/cars/seat_cupra_tcr2/wind
{2ae0f746-2081-4759-aaa8-cd87980efbff} event:/cars/seat_cupra_tcr1/backfire_ext
{1fc6e29d-3784-4356-9ae5-dbf8140c850a} event:/cars/seat_cupra_tcr1/backfire_int
{80e018ea-4ebf-4e5f-ab2f-493ec7c29151} event:/cars/seat_cupra_tcr1/bodywork
{2a64dc53-a1ba-4d44-9e55-b274d5e538e3} event:/cars/seat_cupra_tcr1/door
{bee32795-d33a-4a75-9269-bf5df44d2fcf} event:/cars/seat_cupra_tcr1/engine_ext
{b1c9cd76-1f2b-4543-9d42-e1372db9a3c2} event:/cars/seat_cupra_tcr1/engine_int
{d87a8cda-d0b4-4063-a130-b19483953d35} event:/cars/seat_cupra_tcr1/gear_ext
{1c6bd559-d225-4783-8524-c5085f747600} event:/cars/seat_cupra_tcr1/gear_grind
{ce631149-13c9-4f21-9464-979afa518866} event:/cars/seat_cupra_tcr1/gear_int
{47bd898e-ad18-4174-b0bf-b2a69696f4b3} event:/cars/seat_cupra_tcr1/horn
{9e038516-0951-4640-a3b4-6b81a0870d68} event:/cars/seat_cupra_tcr1/limiter
{12c01480-c2d2-4bc8-acb1-8fecc0db0341} event:/cars/seat_cupra_tcr1/skid_ext
{fa116602-3ba1-4a5a-952a-7596bb1e9727} event:/cars/seat_cupra_tcr1/skid_int
{a0ea4372-577c-4298-bdca-d2ad3152230c} event:/cars/seat_cupra_tcr1/tractioncontrol_ext
{69cbda99-c325-48fb-ac02-a643956ace83} event:/cars/seat_cupra_tcr1/tractioncontrol_int
{a6876f5d-cd6d-41be-ba32-0daabf44fca1} event:/cars/seat_cupra_tcr1/transmission
{7ab3f125-2388-41d0-a942-7fe99e197d08} event:/cars/seat_cupra_tcr1/turbo
{5873a55b-ede4-4758-b05d-4950dda53752} event:/cars/seat_cupra_tcr1/wheel
{95ad4258-e892-4690-9766-2aeade36f06d} event:/cars/seat_cupra_tcr1/wind
{5a158dc2-e0b6-461e-b8c8-79f93d276717} event:/cars/bz_corvette_zr1_c6/backfire_ext
{f12e346f-47d9-437f-919b-93b80cc3b8af} event:/cars/bz_corvette_zr1_c6/backfire_int
{4658a2d9-d73b-4827-87a4-d3f56f04f753} event:/cars/bz_corvette_zr1_c6/bodywork
{17218a73-2219-4841-813e-c96501160975} event:/cars/bz_corvette_zr1_c6/door
{90856d10-a95a-448f-bd64-eebbeb4f95e7} event:/cars/bz_corvette_zr1_c6/engine_ext
{0c3689d3-edab-4383-9d98-155db53811bd} event:/cars/bz_corvette_zr1_c6/engine_int
{7f9d6675-cf42-430e-bbaf-21dc55777d05} event:/cars/bz_corvette_zr1_c6/gear_ext
{e9cdcf4b-6e20-46f2-a66a-570fc6dab454} event:/cars/bz_corvette_zr1_c6/gear_grind
{cbd15ce5-4311-433b-b796-f6a377c59086} event:/cars/bz_corvette_zr1_c6/gear_int
{2947bd0a-b1d5-40c1-a5e0-89a72e87a8d4} event:/cars/bz_corvette_zr1_c6/horn
{554dacd9-f275-4e6b-9cb7-bf40e5890e62} event:/cars/bz_corvette_zr1_c6/limiter
{3bfc35b8-f4f8-414d-bb7a-c541f0bc2d7c} event:/cars/bz_corvette_zr1_c6/skid_ext
{6e10f606-fc8d-4236-a66f-57163fc47489} event:/cars/bz_corvette_zr1_c6/skid_int
{34f6f426-921f-455c-af63-dbf689bcae22} event:/cars/bz_corvette_zr1_c6/tractioncontrol_ext
{1f52c74c-bcc7-4d73-a395-42dae9b09d42} event:/cars/bz_corvette_zr1_c6/tractioncontrol_int
{f0d21f62-c6f7-493a-b7b2-0380a21f8678} event:/cars/bz_corvette_zr1_c6/transmission
{030b89e1-2a36-4d86-aba5-179cd43e3944} event:/cars/bz_corvette_zr1_c6/turbo
{c503cfe0-5685-4ea6-84a3-7206266379aa} event:/cars/bz_corvette_zr1_c6/wheel
{f6783fbd-c5fa-4a40-babd-80850b0fd376} event:/cars/bz_corvette_zr1_c6/wind
{431fb779-148d-4b16-aaab-52eeb2c65640} event:/cars/tatuusfa1/backfire_ext
{b3bfdbea-1234-4187-a7ae-7d4cdd7733d9} event:/cars/tatuusfa1/backfire_int
{806844fc-8742-49c4-a2af-b50000eb2dc1} event:/cars/tatuusfa1/bodywork
{778ebd3c-e5df-47f9-a7b4-6f90b0ee4628} event:/cars/tatuusfa1/door
{5fdbe5d7-17e3-4465-8eb3-8907d258c70a} event:/cars/tatuusfa1/engine_ext
{b0b4d0ad-e7f6-43d2-bb85-ce578a596b96} event:/cars/tatuusfa1/engine_int
{79068e60-2e68-4071-9b16-109ebe9b3393} event:/cars/tatuusfa1/gear_ext
{0ee188c3-98f4-4572-bde3-6cadcc14d51b} event:/cars/tatuusfa1/gear_grind
{1d030c53-1d77-44e8-8586-b6fe5a5dc5dd} event:/cars/tatuusfa1/gear_int
{b6820ea4-617d-48c1-8cd3-2e4ca8cbea7c} event:/cars/tatuusfa1/horn
{08efac47-cc16-4a10-b73e-fed5a2bf9320} event:/cars/tatuusfa1/limiter
{38362039-2075-4eb9-91e5-6200f9f1d4e3} event:/cars/tatuusfa1/skid_ext
{ea46972e-8594-4a54-976f-01688943c0d4} event:/cars/tatuusfa1/skid_int
{ea3b8f58-f2d6-4d02-bf92-85461b3d3888} event:/cars/tatuusfa1/tractioncontrol_ext
{fcff67ea-f037-4a55-b5d4-a4dc6e337dbb} event:/cars/tatuusfa1/tractioncontrol_int
{089793a6-e7a3-4262-806d-4ff0281406f8} event:/cars/tatuusfa1/transmission
{c76e2923-cf98-425c-9c4e-22a20ac0891f} event:/cars/tatuusfa1/turbo
{cfb442dc-daca-4705-bec1-caf7dd4bfabf} event:/cars/tatuusfa1/wheel
{19c17954-1109-4225-b81e-fff635faa85a} event:/cars/tatuusfa1/wind
{e7a0a53c-47d9-43bc-b7b8-e52d665bb16f} event:/collisions/car/hit
{30da2dc2-9c09-4556-8501-c6d54f63b689} event:/collisions/car/scrape
{68d68373-2ebb-41cc-9825-fa6dcc0027c2} event:/collisions/object/hit
{4bd6b486-ac12-483a-8e9e-4f587f8ec27f} event:/collisions/track/hit
{e7c31cb2-ac8d-4a2a-abc0-855cf9dff82e} event:/collisions/track/scrape
{4cc7ac44-8aaf-4473-91ea-aeca681ab958} event:/common/ambience
{d1f12277-fe8f-4106-9fb2-3de595d54a1c} event:/common/dirt
{f5666b9c-c659-459c-85bd-0eff6e92f7eb} event:/common/screw
{deae65e4-a5a7-4810-8adb-277fe4a96aa3} event:/common/unscrew
{f12c4de3-d817-4689-8985-f3a55d2274fc} event:/showrooms/showroom
{2cf5323a-2b34-4e01-ab6c-d0d6183d4ba7} event:/surfaces/extraturf
{62b4885a-92af-4af5-9f6d-2a467ffa2e3f} event:/surfaces/grass
{28e7a4ab-0e1c-4664-a7d8-b5fd89b024a0} event:/surfaces/gravel
{599532a9-5dac-40b8-8458-b0d16f89699a} event:/surfaces/kerb
{25b9a4aa-b8f7-4c53-ae28-0b98d81f732e} event:/surfaces/old
{7aa66622-f8c0-45b0-9650-89f6fc14cab1} event:/surfaces/sand
{c9bdf030-dda2-4d7c-9787-3dc4a166160c} event:/surfaces/tyre_rolling
{08f6ba78-f576-4f9f-a232-47657d5fec19} bus:/
{9e2b6406-bcd0-4f61-92a5-b3e5d68d4b97} bus:/grp_backfire_ext
{477be05a-5cbd-468a-b1d8-637af58bba28} bus:/grp_backfire_int
{b3c3876b-83aa-45d3-b43a-125adcb9a753} bus:/grp_bodywork
{f915798f-0669-4379-b31a-6ec19e8af0ea} bus:/grp_collisions
{559b9037-dd6c-4120-9373-477d07717f9e} bus:/grp_door
{5206e42b-ae8f-49f6-b059-d613b2947b49} bus:/grp_engine_ext
{db9dca15-49f5-4c00-93ca-e76ccaf1160e} bus:/grp_engine_int
{c9a0a35d-dcc0-4002-ae01-5487466de9f8} bus:/grp_gear_ext
{f09ce222-1e68-42a9-9e16-fcb45004fcb3} bus:/grp_gear_int
{c89669bc-901a-4b52-91b7-46a85014ee0d} bus:/grp_horn
{37b936f8-165c-484d-a2f5-d06ae99a0822} bus:/grp_limiter
{81c0ee3a-2fd8-4e25-b775-eb7845ca644f} bus:/grp_skid_ext
{37bf169d-f171-4af4-a924-d65a1f998264} bus:/grp_skid_int
{ce5395d1-28c9-4dcc-90bd-051528b365d3} bus:/grp_surfaces
{9d0c46e7-d738-480e-8d5f-b5fb315a701a} bus:/grp_tractioncontrol_ext
{dcf6df4b-a019-4819-97e4-d1b3ed67e4b1} bus:/grp_tractioncontrol_int
{dba03e3d-9c12-43da-a5b9-9c79b7673c7f} bus:/grp_transmission
{35927822-c7cf-43ab-b6a2-447a4386450e} bus:/grp_turbo
{b7b6c398-22ee-465a-a6df-42861188e195} bus:/grp_wheel_closed
{208daf59-324a-4a13-994e-d284dac196ce} bus:/grp_wheel_open
{bec567db-3040-4ca9-82f7-75f072ab68c8} bus:/grp_wind_closed
{1c1f5d35-07d5-4d6f-b916-cd0eb4adfd60} bus:/grp_wind_open
{94f04703-a92c-49cf-a097-734f3e79ec08} vca:/vca_engine_ext
{ff157bb9-ecc1-49da-ad82-5e42fecb2ac9} vca:/vca_engine_int
{f8b9d9e5-bd29-4a82-a1a0-66e8b9059ccb} vca:/vca_skid
{45401f11-f5bd-429f-afb6-710deda49e32} vca:/vca_surfaces
{a61eba16-8f14-4a39-8ffd-c573cfdc0dbd} vca:/vca_transmission
{185673e8-d3ed-434c-acd4-61c819bb209c} vca:/vca_wind
{6277902e-df73-4bb2-a3f1-19091142b9f1} bank:/seat_cupra_tcr
{bd8a4a3a-614b-4dcc-a099-0e6d6105c78c} bank:/seat_cupra_tcr1
{b27f6765-52ae-48b8-b9c8-384716019175} bank:/bz_corvette_zr1_c6
{4f6969ac-b7e1-45e5-84f1-31bc6f135357} bank:/showroom
{4b92e6ce-e701-48dd-8dc2-cb371c15dbfe} bank:/tatuusfa1
{47dcf37a-6a8d-4ef6-9f82-2e0398fa69f9} bank:/common
